Article,Topic
"Santini resigns as Spurs manager

Tottenham manager Jacques Santini has resigned for ""personal reasons"".

The former France manager moved to White Hart Lane this summer but now wants to return to France. Santini said: ""My time at Tottenham has been memorable and it is with deep regret that I take my leave. I wish the club and the supporters all the best. ""Private issues in my personal life have arisen which caused my decision. I very much hope that the wonderful fans will respect my decision."" He added: ""I should like to thank (sporting director) Frank Arnesen and (chairman) Daniel Levy for their understanding."" Assistant coach Martin Jol has been put in temporary charge and will take care of team affairs for Saturday's Premiership match against Charlton.

Arnesen said the club were sad to see Santini go: ""We are obviously disappointed that Jacques is leaving us. We fully respect his decision. ""I can assure you that the club will act swiftly to minimise the impact of Jacques' departure. ""Our priority is to ensure that this season's performance remains unaffected by this move. ""I shall make a further statement on Monday, clarifying our position. We wish Jacques well.""",Sports
"Mutu to hold talks with Juventus

Disgraced former Chelsea striker Adrian Mutu is to begin talks with Juventus as he looks for a new club.

""Mutu will be in our club's main stand to watch the match between Juventus and Fiorentina,"" said a Juventus official, who declined to be named. ""Then he will meet some important people of the club,"" he added. Mutu, 25, sacked by Chelsea and banned for seven months for taking cocaine, is now represented by Alessandro Moggi, son of Juve manager Luciano Moggi. Mutu, banned by the English FA, can resume playing next May. He is to undergo a drug education and rehabilitation programme. Mutu wants to train with Romanian side Dinamo Bucharest whilst serving his ban, say the Bucharest side.",Sports
"Uefa approves fake grass

Uefa says it will allow European matches to be played on artificial pitches from the start of next season.

European football's governing body made the decision at a meeting of its Executive Committee on Wednesday. Uefa explained that the move ""follows comprehensive studies into the sporting and medical aspects of using artificial playing surfaces."" They can be used subject to complying with Uefa quality criteria but there use will not be made obligatory. Luton, Preston, Queens Park Rangers and other clubs used to have plastic pitches during the the 1980s but, after a two-year study, Uefa insists the surfaces have moved on. International matches can also be played on such pitches, although games at major tournaments have to be contested on grass. Uefa spokesman Rob Faulkner said: ""People in England have bad memories of the artificial pitches of Luton and QPR in the 1980s, but the latest generation are completely different and are much more like grass. ""We have sanctioned its use from the start of next season but only as long as it is the latest generation of artificial turf and meets a whole series of standards."" Several leading clubs from Scandinavia, Russia and eastern Europe - especially those who only play Champions League or Uefa Cup matches in winter - are now expected to instal artificial pitches.",Sports
"Yeading face Newcastle in FA Cup

Premiership side Newcastle United face a trip to Ryman Premier League leaders Yeading in the FA Cup third round.

The game - arguably the highlight of the draw - is a potential money-spinner for non-League Yeading, who beat Slough in the second round. Conference side Exeter City, who knocked out Doncaster on Saturday, will travel to Old Trafford to meet holders Manchester United in January. Arsenal were drawn at home to Stoke and Chelsea will play host to Scunthorpe. The only other non-League side in the draw are Hinckley United, who held Brentford to a goalless draw on Sunday. They will meet League One leaders Luton if they win their replay against Martin Allen's team at Griffin Park.

A number of Premiership teams face difficult away games against Championship sides on the weekend of 8/9 January. Third-placed Everton visit Plymouth, Liverpool travel to Burnley, Crystal Palace go to Sunderland, Fulham face Carling Cup semi-finalists Watford, Bolton meet Ipswich, while Aston Villa were drawn against Sheffield United. Premiership strugglers Norwich, Blackburn, West Brom are away at West Ham, Cardiff and Preston North End respectively. Southampton visit Northampton, having already beaten the League Two side in the Carling Cup earlier this season. Middlesbrough were drawn away against either Swindon or Notts County, while Spurs entertain Brighton at White Hart Lane.

Arsenal v Stoke

Swindon/Notts Co v Middlesbrough

Man Utd v Exeter

Plymouth v Everton

Leicester v Blackpool

Derby v Wigan

Sunderland v Crystal Palace

Wolves v Millwall

Yeading v Newcastle

Hull v Colchester

Tottenham v Brighton

Reading v Stockport/Swansea

Birmingham v Leeds

Hartlepool v Boston

Milton Keynes Dons v Peterborough

Oldham v Man City

Chelsea v Scunthorpe

Cardiff v Blackburn

Charlton v Rochdale

West Ham v Norwich

Sheff Utd v Aston Villa

Preston v West Brom

Rotherham v Yeovil

Burnley v Liverpool

Bournemouth v Chester

Coventry v Crewe

Watford v Fulham

Ipswich v Bolton

Portsmouth v Gillingham

Northampton v Southampton

QPR v Nottm Forest

Luton v Hinckley/Brentford

Matches to be played on weekend of 8/9 January.",Sports
"Anelka 'eyes Man City departure'

Striker Nicolas Anelka reportedly wants to leave Manchester City in search of Champions League football.

Anelka, 25, is in talks over a contract extension beyond 2007 with City but is believed to fear his career will go stale if he stays at the club. The News of the World reports that Anelka told a French magazine: ""I either decide to win titles or to have an easy life. ""I think I will always choose football, if a great club makes me an offer."" He added: ""To win titles you need players who have the capability of doing so. If we stagnate between eighth and 15th place it's impossible to progress. ""If I am going to score goals and not win, there is a risk it is going to create a feeling of being fed up."" Anelka has earned a reputation for being a difficult character to handle after spells at Arsenal, Real Madrid and Paris St Germain and he feels that is now coming back to haunt him.

""I am in talks to sign an extension to my contract,"" he said. ""I am well here but the sporting aspect also comes into account. ""Playing for eighth place is good but I miss the Champions League. ""I won it with Real Madrid in 2000 and I need to be playing in it - and I should be playing in it. ""I'm not in it because of things that have happened in the past and had nothing to do with football. ""But I don't blame anyone. It's a bit my fault.""",Sports
"Arnesen denies rift with Santini

Tottenham sporting director Frank Arnesen has denied that coach Jacques Santini resigned because of a clash of personalities at White Hart Lane.

There had been newspaper speculation that Santini had felt undermined by Arnesen's role at the club. ""It is absolutely not true,"" Arnesen told BBC Radio Five Live. ""There is only one thing that made him resign and that is his own personal problems. ""He has talked to me recently and said this matter is absolutely for himself."" Arnesen said he was unable to throw any light onto the problems that caused Santini to quit after just 13 games in charge. He added: ""Jacques has never gone into exactly what it was. But I trust him in that; you have to accept it. I think we should respect it.

""The plan is now that over the weekend we will have talks with the board and then on Monday we will clarify the situation."" Arnesen countered criticism at the timing of the announcement, coming less than 24 hours before Tottenham's Premiership fixture with Charlton. ""When it comes down to personal problems, I don't think we should talk about timing,"" he said. And he also denied reports that Santini had been given a £3m pay-off. ""That is absolute nonsense. He is the one who said 'I will go' and so he went'"", said the Spurs sporting director. Tottenham's structure of having a sporting director working alongside a coach is based on a continental model and Arnesen sees no reason why they should change it.

""I have confidence in this structure. I am confident that we have started something here in July and I still have a lot of confidence in Tottenham and what we are doing,"" he said. However, former Spurs and England defender Gary Stevens said he would not be surprised if the system had caused a rift. ""I think the problems go a lot deeper, between the director of football at White Hart Lane and Santini,"" Stevens told Five Live. ""On paper they could have worked together. But Frank Arnesen was a very creative, forward-thinking and expansive player - whereas I think Santini was very much the opposite, more a case of being organised, disciplined and happy not conceding goals. ""That sort of arrangement can work if the two people have the same principles and ideals and work very closely. But it seems that has not happened.""",Sports
"Souness backs Smith for Scotland

Graeme Souness believes Walter Smith would be the perfect choice to succeed Berti Vogts as Scotland manager.

Souness's former assistant at Rangers is hot favourite to take over from Vogts, who resigned on Monday. ""Walter is most definitely the ideal candidate for that job. He'd be perfect for it,"" Souness told BBC Sport. The Scottish Football Association has appointed Tommy Burns as provisional caretaker-boss for the friendly against Sweden on 17 November. ""He fits the bill because of his knowledge and understanding of the Scotland team and football. He is experienced and has been successful."" Souness added: ""Walter is a real football person, as I know from working with him at Ibrox. ""On top of all that he is a proper human being who would command the instant respect of the players and everyone involved in Scottish football."" Souness joined Sir Alex Ferguson in backing Smith's claims. The Scottish Football Association is about to embark on the search for Vogts successor after appointing Tommy Burns in a caretaker capacity. Ferguson said: ""He (Smith) would be the outstanding candidate as far as I'm concerned. ""You need somebody who knows what they're doing and Walter would bring a wealth of experience to the job."" The Man Utd boss continued: ""I don't know what credentials are needed to do the job but it's a job that needs a lot of experience. ""He was my assistant with Scotland and here at Manchester United and he has also managed Glasgow Rangers. ""He would need to change the whole shape of Scottish football and radical changes are needed."" Smith was assistant to Ferguson at the World Cup in Mexico in 1986. The former Everton and Rangers boss has been out of the game since a spell as Manchester United assistant last term. BBC Sport understands that Smith would be willing to discuss taking over if he was approached by the Scottish FA.

If he is tempted to take over, it seems almost certain Smith's long-time right-hand man Archie Knox would also play a part in the national team set-up. Smith already has the backing of many pundits and fans, including former Scotland manager Craig Brown. Brown said: ""Walter is an outstanding candidate without doubt. ""He would be admirable choice. I spoke to him on Sunday and I got the impression he would take it. He was asking me about it and I was positive."" Other candidates for the job include former Scotland midfielders Gordon Strachan and Gary McAllister and Vogts' assistant Tommy Burns.",Sports
"Gallas sees two-horse race

Chelsea's William Gallas believes they will battle it out with Arsenal for the Premiership in the coming months.

""It'll be a two-horse race all the way to the end of the season because we are both going to give it everything,"" he told BBC Sport. ""You need to be good and you need a lot of luck. You need a bit of both but it will be as hard for the Arsenal players as it is for the Chelsea boys."" ""We know that we have got the power in our hands just now,"" added Gallas.

""But you never know what is going to happen in football - two seasons ago Manchester United picked up so many points towards the end of the season when they won the title. ""Obviously, nobody at Chelsea wants to come second but you never know what happens in football. ""We will be challenging to come first as much as every Arsenal player will be challenging to come first."" Gallas has been given extra confidence by the impact manager Jose Mourinho has had since taking over as manager during the summer.

And the French international defender believes Mourinho is perfectly suited to boss the squad of Chelsea stars and says his managerial expertise will prevent any player revolt. ""It's only normal when you have got a team put together of such big names that you put the finishing touch to it and the finishing touch at Chelsea is a fantastic manager like Mourinho,"" he said. ""He is the icing on the cake at the club. He has this fantastic knack of thinking of everything. ""Another incredible quality that Mourinho has is that every player, even though the fans may consider them to be a stars, within the dressing-room they are absolutely equal. ""Mourinho reminds everyone but he doesn't have to because he has created a wonderful atmosphere where everybody is playing and laughing every day. ""It is a changed dressing-room from the atmosphere there was last year.""
",Sports
"Chelsea sack Mutu

Chelsea have sacked Adrian Mutu after he failed a drugs test.

The 25-year-old tested positive for a banned substance - which he later denied was cocaine - in October. Chelsea have decided to write off a possible transfer fee for Mutu, a £15.8m signing from Parma last season, who may face a two-year suspension. A statement from Chelsea explaining the decision read:""We want to make clear that Chelsea has a zero tolerance policy towards drugs."" Mutu scored six goals in his first five games after arriving at Stamford Bridge but his form went into decline and he was frozen out by coach Jose Mourinho. Chelsea's statement added: ""This applies to both performance-enhancing drugs or so-called 'recreational' drugs. They have no place at our club or in sport. ""In coming to a decision on this case, Chelsea believed the club's social responsibility to its fans, players, employees and other stakeholders in football regarding drugs was more important than the major financial considerations to the company. ""Any player who takes drugs breaches his contract with the club as well as Football Association rules. ""The club totally supports the FA in strong action on all drugs cases."" Fifa's disciplinary code stipulates that a first doping offence should be followed by a six-month ban. And the sport's world governing body has re-iterated their stance over Mutu's failed drugs test, maintaining it is a matter for the domestic sporting authorities. ""Fifa is not in a position to make any comment on the matter until the English FA have informed us of their disciplinary decision and the relevant information associated with it,"" said a Fifa spokesman. Chelsea's move won backing from drug-testing expert Michelle Verroken. Verroken, a former director of drug-free sport for UK Sport, insists the Blues were right to sack Mutu and have enhanced their reputation by doing so. ""Chelsea are saying quite clearly to the rest of their players and their fans that this is a situation they are not prepared to tolerate. ""It was a very difficult decision for them and an expensive decision for them but the terms of his contract were breached and it was the only decision they could make. ""It is a very clear stance by Chelsea and it has given a strong boost to the reputation of the club."" It emerged that Mutu had failed a drugs test on October 18 and, although it was initially reported that the banned substance in question was cocaine. The Romanian international later suggested it was a substance designed to enhance sexual performance. The Football Association has yet to act on Mutu's failed drugs test and refuses to discuss his case.",Sports
"Edu describes tunnel fracas

Arsenal's Edu has lifted the lid on the scenes that followed Manchester United's win over the Gunners.

The Brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at United boss Sir Alex Ferguson. ""I saw people being pulled apart, people pushing, pointing and shouting,"" he told Uefa's official website. ""The United players were trying to wind us up about the result but I didn't see any soup being thrown at anyone."" However, Edu tried to play down the incidents, adding: ""There was nothing that I haven't seen in Brazilian derbies. ""Derby matches in Brazil are worse. I like to play in games like this with this intense rivalry."" But Edu was highly critical of the ferocity of some of United's challenges during the game, particularly on Jose Antonio Reyes. ""I think we were a lot fairer in the tackles than United,"" he said. ""Reyes was being kicked all over the park - they were beating up the boy and Gary Neville was tackling in such a way that he should have been sent off."" Following the game, the Football Association said it would look into events in the tunnel. It also charged Ruud van Nistelrooy with serious foul play while Arsenal boss Arsene Wenger has been asked to explain comments he made about the referee.",Sports
"FA probes crowd trouble

The FA is to take action after trouble marred Wednesday's Carling Cup tie between Chelsea and West Ham.

Police in riot gear were confronted by a section of the West Ham support after the match which the Blues won 1-0. Mateja Kezman, the scorer of Chelsea's goal, needed treatment on a head injury during the match after being hit by a missile, believed to be a coin. A spokeswoman for Chelsea said the club would await the referee's report before deciding on its course of action. Kezman was forced off the field to receive treatment on a cut above his eye but was able to continue.

Chelsea assistant boss Steve Clarke said: ""I would rather talk about the football but we think it was something thrown from the crowd. He did not require stitches."" West Ham boss Alan Pardew said: ""It's a shame because I thought there was good English banter in the crowd. ""There's big rivalry between the two clubs and it is a shame if that's happened. From where I was standing I didn't see any trouble."" Former Hammers star Joe Cole also had a plastic bottle thrown at him, while Frank Lampard was pelted with coins as he was preparing to take a penalty. Lampard's spot-kick was saved to the delight of the Hammers' fans, who have still not forgiven him for leaving Upton Park. The FA will seek reports from the clubs and the police, and will review video evidence and the referee's report. Police in riot gear battled with West Ham fans in the Matthew Harding stand and at least one supporter required treatment. Fans are also thought to have clashed outside the ground after the game. Scotland Yard said there had been 11 arrests for alleged public order, drugs and offensive weapon offences.

The FA is already looking into the trouble at Tuesday's heated Carling Cup tie between Millwall and Liverpool.",Sports
"Wenger signs new deal

Arsenal manager Arsene Wenger has signed a new contract to stay at the club until May 2008.

Wenger has ended speculation about his future by agreeing a long-term contract that takes him beyond the opening of Arsenal's new stadium in two years. He said: ""Signing a new contract just rubber-stamps my desire to take this club forward and fulfil my ambitions. ""I still have so much to achieve and my target is to drive this club on. These are exciting times for Arsenal.""

The 55-year-old Frenchman told Arsenal's website www.arsenal.com: ""My intention has always been clear. I love this club and am very happy here."" Wenger has won the title and the FA Cup three times each during his reign. Chairman Peter Hill-Wood said: ""We are absolutely delighted that Arsene has signed an extension to his contract. ""Since his arrival in 1996, he has revolutionised the club both on and off the pitch. ""As well as the six major honours he's won during his time here, Arsene has been a leading influence behind all the major initiatives at the club including the construction of our new training centre and also our new stadium.

""The club has continued to reap the benefits of Arsene's natural eye for unearthing footballing talent. ""We currently have a fantastic crop of young players coming through the ranks together with a number of world-class players who are playing a wonderful brand of football."" Meanwhile, Arsenal director Danny Fiszman is looking for Wenger to stay beyond 2008. ""When we come towards the end of his contract we will both review the situation. I'm sure we will want him to stay on and I hope he will too,"" said Fiszman.",Sports
"Juninho demand for O'Neill talks

Juninho's agent has confirmed that the player is hoping for talks with Martin O'Neill as the Brazilian midfielder comes closer to departing Celtic.

Brian Hassell says no official approach has been received from Manchester City but that the English club had been earmarked as a possible destination. But it was being stressed to BBC Sport that Juninho would prefer to remain with the Scottish champions. Juninho wants assurances that he will return to O'Neill's first-team plans. He has become frustrated with his lack of first-team action since his move from Middlesbrough in the summer. Hassel says Juninho, who has just bought a new home, would ""desperately like to stay at Celtic"" but will seek a move if it is made clear that he is not wanted.

The agent also stressed that nothing should be read into the 30-year-old's father being in Scotland and talk of a move back to Botafogo in Brazil. Juninho's father was simply in the country to see his son and grandchildren. ""I know there is interest from a Brazilian club, but I know Juninho doesn't want to go there,"" said Hassel. ""He wants to stay in Britain. In fact, he wants to stay at Celtic."" Hassall made it clear that a move to Manchester City, who are badly in need of a midfield play-maker, was more of a possibility than Botafogo, or Mexican outfit Red Sharks Veracruz, who also expressed an interest. ""It was a thought at one stage,"" he said. ""If you are not going to get a game under one manager, you look for another whose style of play suits you. ""He is a fan of Kevin Keegan's style of play. It would not be a bad move for him."" Juninho had earlier told the Daily Record: ""The manager has had a lot of chances to put me in his team but it hasn't happened. ""If that is the case then this is the opportunity for me to go. That would be good for the club and good for me. ""If I have no part in his plans, there is no point in remaining here waiting for a chance that never comes."" The attacking midfielder also claims he has not had the backing of boss Martin O'Neill since his move to Celtic Park. ""I can't understand why I am in this situation,"" he continued. ""When a manager brings a new player to the club, he gives that player support.""",Sports
"Klinsmann issues Lehmann warning

Germany coach Jurgen Klinsmann has warned goalkeeper Jens Lehmann he may have to quit Arsenal to keep his World Cup dreams alive.

Lehmann is understudy to Oliver Kahn in the German squad, but has lost his place to Manuel Alumnia at Highbury. Klinsmann said: ""It will be difficult for any of our players if he is not a first-choice at his club. ""If Jens is not Arsenal's number one keeper, that is a problem for me. He must be playing regularly."" Lehmann is desperate to keep his place in the Germany squad when the country hosts the World Cup in 2006. Klinsmann added: ""If he is not playing regularly he cannot be Germany's number one keeper, or even number two keeper. ""The situation for Jens is that he is currently the number two keeper at Arsenal. This could be critical if it remains the same during next season.""",Sports
