,Article,Topic
254,feta cheese battle reaches court row over whether only greece should allowed label its cheese feta has reached the european court justice the danish and german governments are challenging european commission ruling which said greece should have sole rights use the name the commissions decision gave the same legal protection feta italian parma ham and french champagne but critics the judgement say feta generic term with the cheese produced widely outside greece the commissions controversial ruling gave protected designation origin status feta cheese made greece effectively restricting the use the feta name producers there from onwards greek firms will have the exclusive use the feta label and producers elsewhere europe must find another name describe their products the german and danish governments argue that feta does not relate specific geographical area and that their firms have been producing and exporting the cheese for years our opinion generic designation and not have any other name term for this type cheese hans arne kristiansen spokesman for the danish dairy board told the bbc denmark europes second largest producer feta after greece producing about tonnes year and exports its products greece concerned that the ruling could threaten the production other cheeses denmark such brie would cost millions wanted introduce new designation kristiansen said that just one the costs the case will also have major impact britains sole feta producer yorkshire company shepherds purse cheeses judy bell the companys founder said would cost huge amount rebrand its product lose will have through massive remerchandising process and reorganisation she said have never tried pull the wool over anyones eyes its very clear from the label that its yorkshire feta the original decision was victory for greece where feta cheese believed have been produced for about years feta soft white cheese made from sheep goats milk and essential ingredient greek cuisine greece makes tonnes mainly for domestic consumption the court expected reach verdict the case the autumn,Economics
161,parkinson’s disease among the most common neurodegenerative disorders classified movement disorder characterized bradykinesia rigidity rest tremor and postural instability the treatment this condition currently centered dopaminergic tone the corpus striatum the brain since shortfall dopamine stimulation these neurons thought responsible for the motor features the reason for this shortfall the loss dopaminergic neurons the substantia nigra specifically the pars compacta the brain which projects axons the corpus striatum dopamineincreasing drugs like levodopa ldopa are severely limited their ability control the other nondopaminedependent symptoms the disease such symptoms include freezing gait cognitive impairment and autonomic dysfunction features the disease that affect the quality life severely newer treatment strategies include reducing the rate disease progression slowing the loss dopaminergic neurons and decreasing the symptomatology drug repurposing triedandtested strategy that can cut down the time required for new drug reach the market regenerative gene therapies and cellbased therapies are also undergoing advanced development another option being explored the use neurosurgery such focused and precise deep brain stimulation major barrier the lack knowledge how the disease begins what are its biomarkers and the absence robust disease models the preclinical stage test new agents that could help prevent the disease before too many neurons were lost dopaminergic drugs levodopa levodopa the precursor dopamine this pioneering classic drug has been used since the 1960s when was hailed breakthrough drug for the treatment continuing the top therapy terms efficacy even late other similarlyacting drugs include inhibitors dopamine metabolism and dopamine receptor agonists but these not work well and have significantly less tolerability read here impact covid19 parkinsons disease drugs like levodopa deliver higher levels dopamine the brain but their nonselective stimulation the brain arising from the delivery dopamine all brain regions major reason for their side effects moreover the absorption these drugs varies widely does their ability cross the bloodbrain barrier notably dopamine released discontinuous manner the substantia nigra achieve its physiological actions thus the effects druginduced constant dopamine release the corresponding receptors the basal ganglia are not fully clear but may counterproductive some such effects include levodopainduced movement disorders cognitive problems occurring approximately half the treated patients and fluctuations symptom severity the onoff effect all patients when added the neuropsychiatric manifestations they noticeably affect the quality life nonetheless this drug remains the linchpin treatment and optimizing the dosage schedule can help minimize these risks the use novel delivery systems including the biodegradable polymer polylacticglycolic acid plga and liposomes could enhance levodopa delivery the brain but the benefits these agents remain demonstrated dopamine stabilizers like pridopidine which antagonizes lowaffinity dopamine receptors and act serotonin receptors are among the newer drugs being explored other dopamine receptor agonists and noncatecholamine d1selective agonists are being evaluated for better cns entry and metabolic stability they escape the extensive degradation suffered catecholamines allosteric modulators are another option acting via the receptors via and receptors without themselves having direct activity any these receptors are d3preferring agonists with other functions such antioxidant activity and iron chelation well modulating αsynuclein aggregation,Medicine
89,soaring oil hits world economy the soaring cost oil has hit global economic growth although worlds major economies should weather the storm price rises according the oecd its latest biannual report the oecd cut its growth predictions for the worlds main industrialised regions growth would reach but fall next year from previous estimate the oecd said however the parisbased economics think tank said believed the global economy could still regain momentum forecasts for japanese growth were also scaled back from this year and from but the outlook was worst for the 12member eurozone bloc with already sluggish growth forecasts slipping from this year and from the oecd said overall the report forecast total growth for the member countries the oecd slipping next year before recovering there are nonetheless good reasons believe that despite recent oil price turbulence the world economy will regain momentum nottoodistant future said jeanphilippe cotis the oecds chief economist the price crude about higher than was the start but down the record high set late october dip oil prices and improving jobs prospects would improve consumer confidence and spending the oecd said the oil shock not enormous historical standards have seen worse the seventies the oil price does not rise any further then think the shock can absorbed within the next few quarters vincent koen senior economist with the oecd told the bbcs world business report the recovery that was underway and has been interrupted bit the oil shock this year would then regain momentum the course chinas booming economy and spectacular comeback japan albeit one that has faltered recent months would help world economic recovery the oecd said supported strong balance sheets and high profits the recovery business investment should continue north america and start earnest europe added however the report warned remains seen whether continental europe will play strong supportive role through marked upswing final domestic demand the oecd highlighted current depressed household expenditure germany and the eurozones overreliance exportled growth,Economics
163,proteins are the fundamental building blocks life and they are the essential products molecular biology’s core dogma proteins play variety roles the body including catalyzing metabolic events creating cellular matrices and building signaling pathways respond external stimuli the study protein structure and function currently being conducted scientists from all fields because they hold the key understanding the “meaning life” due the difficulty obtaining most proteins interest critical identify sources that might give researchers limitless supply proteins the technique cloning gene encoding proteinofinterest into expression vector typically plasmid and transferring into host cell for protein production leveraging the host cell’s inherent protein synthesis machinery known recombinant protein expression for recombinant protein manufacturing several host cell systems have been devised and choosing the best host for any particular protein key aspect its effective expression table summarizes the benefits and drawbacks frequently used expression hosts,Medicine
247,qantas sees profits fly record australian airline qantas has posted record fiscal firsthalf profit thanks costcutting measures net profit the six months ending december rose a4584m 3576m £191m from year earlier analysts expected figure closer a431m qantas shares fell almost however after warned that earnings growth would slow the second half sales will dip least a30m after the indian ocean tsunami devastated many holiday destinations qantas said the tsunami affected travel patterns ways that were bit surprised about chief executive geoff dixon explained certainly affected japanese travel into australia soon the tsunami hit saw lessening with bookings for australia higher fuel costs also are expected eat into earnings coming months dont have much hedging benefit the second half had the first said chief financial officer peter gregg qantas facing increased pressure from rivals such lowcost carrier virgin blue and the australian government talks about whether allow singapore airlines fly between the australia and the one qantas key routes even the firm predicting that fullyear earnings will increase from the previous months analysts have forecast fullyear profit will rise about around a720 million million qantas boss dixon also said would reviewing the groups costcutting measures during the first six months the fiscal year qantas made savings a245m and track top its target a500m for the full year last month the company warned may transfer many jobs out australia with dixon quoted saying that the carrier could longer afford remain allaustralian,Economics
280,evidence continues mount that specific strain adenovirus could implicated wave american children whove developed acute hepatitis unknown origin centers for disease control and prevention officials said friday the evidence accumulating that theres role for adenovirus particularly adenovirus jay butler the cdcs deputy director for infectious diseases said friday media briefing the exact role that plays think where were really wanting focus the investigation adenoviruses are common form virus that can cause everything from colds bronchitis pinkeye according the cdc one more death related pediatric hepatitis was reported thursday butler said raising the national death count six however researchers are still struggling determine whether there’s been true increase cases pediatric hepatitis the united states public health officials have simply stumbled across existing pattern that’s been revealed due improvements detection thus far have not been able document actual increase the overall number pediatric hepatitis cases butler stressed “for example were looking specific emergency department visits for pediatric hepatitis well liver transplant children nationwide” butler added currently these numbers are stable earlier this week the cdc announced that pediatric hepatitis cases had been identified states over the past seven months from previous count cases two weeks earlier however the cdc has stressed that many the newly counted domestic cases are retrospective meaning they were cases that are now being counted but which happened far back october the cases altogether only have been over the past two weeks butler noted the vast majority going back are much earlier the course the investigation look graphing out the cases the date onset its relatively flat there had also been reported deaths since february until the one this week according the agency about the cases were severe require liver transplants many the pediatric hepatitis cases have been associated with adenovirus type which commonly causes diarrhea vomiting and fever children sometimes accompanied respiratory symptoms the cdc said its not been previously identified cause hepatitis otherwise healthy children genetic sequencing has shown that multiple viral strains adenovirus type have been involved the hepatitis cases which appears rule out early possibility that single newly mutated strain the virus could responsible butler said cdc investigators also are keeping open the possibility that covid infections could contributing the hepatitis cases butler said researchers are performing antibody tests determine some the afflicted children had past infection with covid and whether any had developed serious condition known multisystem inflammatory syndrome result their covid infection butler said one new study from case western reserve school medicine cleveland has found that children previously infected with covid were fact two three times more likely have liver function test results outside the normal range fact the test results were more than twice the upper limit for healthy children suggesting impaired liver function but it’s already been known that kids with covid infections sometimes have elevations liver function tests butler said one the tricky things sort out how much the elevation liver function test specific sars coronavirus infection opposed severe illness butler said its not uncommon that there would some elevation liver function tests and even elevations bilirubin marker liver function among children who are severely ill the intensive care unit there are hundreds other pediatric hepatitis cases that have been reported countries around the world according the world health organization its unusual because this occurring normal healthy kids who dont have underlying condition said tina tan infectious disease doctor ann robert lurie childrens hospital chicago nobody knows the true cause and what makes more scary that these kids develop very severe hepatitis tan recommends that parents keep close eye children with cold and flu symptoms and take them the they become jaundiced they start notice that their kids are having severe abdominal pain that the whites their eyes are turning little bit yellow their skin colors little bit yellow they really need seek immediate medical attention that the child can worked for hepatitis tan said other potential symptoms hepatitis include vomiting dark urine and lightcolored stools butler said,Medicine
22,juninho demand for oneill talks juninhos agent has confirmed that the player hoping for talks with martin oneill the brazilian midfielder comes closer departing celtic brian hassell says official approach has been received from manchester city but that the english club had been earmarked possible destination but was being stressed bbc sport that juninho would prefer remain with the scottish champions juninho wants assurances that will return oneills firstteam plans has become frustrated with his lack firstteam action since his move from middlesbrough the summer hassel says juninho who has just bought new home would desperately like stay celtic but will seek move made clear that not wanted the agent also stressed that nothing should read into the 30yearolds father being scotland and talk move back botafogo brazil juninhos father was simply the country see his son and grandchildren know there interest from brazilian club but know juninho doesnt want there said hassel wants stay britain fact wants stay celtic hassall made clear that move manchester city who are badly need midfield playmaker was more possibility than botafogo mexican outfit red sharks veracruz who also expressed interest was thought one stage said you are not going get game under one manager you look for another whose style play suits you fan kevin keegans style play would not bad move for him juninho had earlier told the daily record the manager has had lot chances put his team but hasnt happened that the case then this the opportunity for that would good for the club and good for have part his plans there point remaining here waiting for chance that never comes the attacking midfielder also claims has not had the backing boss martin oneill since his move celtic park cant understand why this situation continued when manager brings new player the club gives that player support,Sports
262,monday media briefing public health officials said they are tracking handful travelrelated monkeypox cases that have been reported across the country anyone can catch monkeypox but this time appears circulating globally some parts the gay community john brooks medical epidemiologist with the centers for disease control and preventions division hivaids prevention said during the briefing contact tracing being done for the first confirmed case massachusetts man who recently traveled canada added capt jennifer mcquiston deputy director the division high consequence pathogens and pathology the cdc four more presumed monkeypox cases have also been reported various parts the united states mcquiston said one new york city one florida and two utah all reported cases are men whom the cdc believes were exposed the virus while visiting other countries monkeypox causes rash with skin lesions and can concentrated certain body parts spread more widely across the body mcquiston said during the briefing begins with flulike symptoms like fever and swollen lymph nodes the illness very seldom lifethreatening the strain the identified cases both the united states and globally west african strain which the milder the two strains monkeypox virus mcquiston said most people who are infected with monkeypox recover within two four weeks without specific treatment person could catch monkeypox they come into contact with active rash respiratory droplets body fluids from infected patient brooks explained monkeypox spread close personal contact brooks said monkeypox not sexually transmitted infection the typical sense but can transmitted during sexual and intimate contact well with personal contact and shared bedding and clothing serious complications generally occur the monkeypox rash spreads certain parts the body mcquiston said for example lesion eye could endanger vision and swollen lymph nodes could compromise breathing effective vaccines available there are already couple smallpox vaccines that can help protect people against monkeypox infection the cdc experts noted and they are being readied for distribution fears potential smallpox outbreak long ago prompted the federal government stockpile vast quantity these vaccines mcquiston explained right now are hoping maximize vaccine distribution those that know would benefit from she said those are people whove had contact with known monkeypox patient health care workers very close personal contacts and those particular who might high risk for severe disease can report that there has been request for release the jynneos vaccine from the national stockpile for some the highrisk contacts some the early patients that actively happening right now” public health officials are tracking more than contacts related the first case massachusetts mcquiston said most those contacts are health care workers there also are antiviral drugs for smallpox that could used treat severe cases monkeypox necessary added brett petersen medical officer with the cdcs poxvirus and rabies branch one tecovirimat already has expanded access approval the food and drug administration treat monkeypox petersen said the cdc working get similar emergency access approval for newer smallpox medication brincidofovir need panic just empower gay pride week kicks off this coming friday brooks said and public health workers are pushing out information through the media and lgbtq organizations warn participants upcoming events about this outbreak don’t think the present time there sufficient evidence spread spread occurring rapidly that want shut down any events recommend they postponed brooks said the contrary what want empower people take the initiative hold themselves back from participating theyre feeling ill and see evaluation gay men attending pride events should cognizant the fact that youre feeling ill and have rash might good time step back brooks said and you after event find that you have developed some symptoms rash thats suspicious for possible monkeypox seek evaluation saturday confirmed cases the illness and more suspected cases have been reported across countries according the world health organization france germany belgium and australia confirmed their first cases friday the associated press reported stunned this every day wake and there are more countries infected said virologist oyewale tomori who sits several world health organization advisory boards this not the kind spread weve seen west africa there may something new happening the west told the new mutation theres currently evidence that the monkeypox thats spreading globally represents new more dangerous strain the virus mcquiston said all the evidence that have date suggests that the monkeypox virus that circulating these communities closely related the monkeypox viruses that weve seen circulating west africa over the last several years mcquiston said the sequence data that have from the massachusetts case which matches the sequence data from the portugal case shows they are very closely linked the viruses that weve seen out west africa the virus was first discovered when two outbreaks poxlike disease occurred monkeys the first known human case occurred the democratic republic the congo and has since been reported humans other central and western african countries according the cdc while does not occur naturally the united states this not the first time monkeypox has been seen the nation outbreak was linked infected prairie dogs imported pets more information the centers for disease control and prevention has more about monkeypox sources capt jennifer mcquiston dvm deputy director division high consequence pathogens and pathology centers for disease control and prevention john brooks medical epidemiologist division hivaids prevention cdc brett petersen medical officer poxvirus and rabies branch cdc associated press copyright healthday all rights reserved,Medicine
197,munster cup tie switched spain munsters heineken cup quarterfinal tie against biarritz april has been switched real sociedads paseo anoeta stadium san sebastian reals ground holds whereas the parc des sports aguilera biarritz has capacity just the irish province will given least tickets the decision move was difficult one but considered the fans one our primary objectives said biarritz chairman marcel martin hope will rewarded huge crowd behaving the best rugby tradition the match will the first heineken cup fixture played spain and expected attract the biggestever attendance for rugby match the country ulster were the last irish team play the paseo anoeta stadium where they faced euskarians side during preseason tour,Sports
60,sales boost time warner profit quarterly profits media giant timewarner jumped 113bn £600m for the three months december from 639m yearearlier the firm which now one the biggest investors google benefited from sales highspeed internet connections and higher advert sales timewarner said fourth quarter sales rose 111bn from 109bn its profits were buoyed oneoff gains which offset profit dip warner bros and less users for aol time warner said friday that now owns searchengine google but its own internet business aol had has mixed fortunes lost subscribers the fourth quarter profits were lower than the preceding three quarters however the company said aols underlying profit before exceptional items rose the back stronger internet advertising revenues hopes increase subscribers offering the online service free timewarner internet customers and will try sign aols existing customers for highspeed broadband timewarner also has restate and results following probe the securities exchange commission sec which close concluding time warners fourth quarter profits were slightly better than analysts expectations but its film division saw profits slump 284m helped boxoffice flops alexander and catwoman sharp contrast yearearlier when the third and final film the lord the rings trilogy boosted results for the fullyear timewarner posted profit 336bn from its performance while revenues grew 4209bn our financial performance was strong meeting exceeding all our fullyear objectives and greatly enhancing our flexibility chairman and chief executive richard parsons said for timewarner projecting operating earnings growth around and also expects higher revenue and wider profit margins timewarner restate its accounts part efforts resolve inquiry into aol market regulators has already offered pay 300m settle charges deal that under review the sec the company said was unable estimate the amount needed set aside for legal reserves which previously set 500m intends adjust the way accounts for deal with german music publisher bertelsmanns purchase stake aol europe which had reported advertising revenue will now book the sale its stake aol europe loss the value that stake,Economics
34,candela completes bolton switch bolton boss sam allardyce has signed roma defender vincent candela fivemonth deal the 31yearold former france international gave his last press conference roma player monday anouncing his move bolton have signed fivemonth contract with bolton said candela who will travel england tuesday june will decide whether continue play for bolton retire from professional football allardyce hopes candelas arrival will relieve boltons injury crisis after defender nicky hunt limped out injured during oldhams win against oldham the cup sunday light what has happened nicky hunt with his injury might blessing disguise that can bring highlyexperienced fullback help with our injuries the back allardyce said has outstanding pedigree the game and has won honours the highest level including the world cup has not played regular football this year but eager impress the premiership can play any position the back and despite him being predominately rightfooted has played the majority his career leftback candela who was member the roma side that won the title has made only seven league appearances this season for luigi del neris side,Sports
